"","method","rep","rmse","rmse.off","kl.div","auroc","sen","spe","pre","recall","acc","f1","fdr","converged","run.time","dgp"
"5533","huge.ric",41,0.240273207484766,0.999556660729981,10.6979058191178,0.591666666666667,0.183333333333333,1,1,0.183333333333333,0.98907469342252,0.309859154929577,0,TRUE,2.73180198669434,"hub5_p300_n500_diag0_R50"
"5534","huge.stars",41,0.239477839303711,0.996181138967906,8.05884542133794,0.738942542372881,0.478333333333333,0.981649717514124,0.261146496815287,0.478333333333333,0.974916387959866,0.337845791642142,0.738853503184713,TRUE,31.0958602428436,"hub5_p300_n500_diag0_R50"
"5535","cv.loglik",41,0.238948226295353,0.994062499635437,7.54640033381338,0.781499303201507,0.565,0.942237288135593,0.117098445595855,0.565,0.937190635451505,0.193991416309013,0.882901554404145,TRUE,19.8597853183746,"hub5_p300_n500_diag0_R50"
"5536","huge.tiger",41,0.834168504214964,0.973457499230143,99.3886048881544,0.596666666666667,0.193333333333333,1,1,0.193333333333333,0.989208472686734,0.324022346368715,0,TRUE,0.41368579864502,"hub5_p300_n500_diag0_R50"
"5537","pcglasso",41,0.222162391831047,0.927234330988912,10.3824010275614,0.6325,0.265,1,1,0.265,0.990167224080268,0.41897233201581,0,TRUE,170.550028562546,"hub5_p300_n500_diag0_R50"
"5538","large",42,0.201769190508372,0.871771534585665,8.01518595799362,0.813985310734463,0.628333333333333,0.992610169491525,0.535511363636364,0.628333333333333,0.987736900780379,0.578220858895706,0.464488636363636,TRUE,157.150483608246,"hub5_p300_n500_diag0_R50"
"5539","huge.ebic",42,0.242438505125999,0.999312004848034,10.3639291181934,0.613331638418079,0.226666666666667,0.999819209039548,0.944444444444444,0.226666666666667,0.989476031215162,0.365591397849462,0.0555555555555556,TRUE,1.24139332771301,"hub5_p300_n500_diag0_R50"
"5540","huge.ric",42,0.242511730826296,0.999629712981212,10.858288924455,0.58,0.16,1,1,0.16,0.98876254180602,0.275862068965517,0,TRUE,2.64824056625366,"hub5_p300_n500_diag0_R50"
"5541","huge.stars",42,0.241581172774391,0.995706193731515,7.98978754420745,0.751918964218456,0.505,0.973491525423729,0.205284552845528,0.505,0.967224080267559,0.291907514450867,0.794715447154472,TRUE,34.0301380157471,"hub5_p300_n500_diag0_R50"
"5542","cv.loglik",42,0.241684418143104,0.996124838090322,8.14214661286539,0.738746516007533,0.478333333333333,0.979751412429379,0.242603550295858,0.478333333333333,0.97304347826087,0.32192933258553,0.757396449704142,TRUE,21.9412577152252,"hub5_p300_n500_diag0_R50"
"5543","huge.tiger",42,0.833188609487091,0.971376320700191,99.1932621046512,0.593333333333333,0.186666666666667,1,1,0.186666666666667,0.989119286510591,0.314606741573034,0,TRUE,0.396735429763794,"hub5_p300_n500_diag0_R50"
"5544","pcglasso",42,0.225083356980149,0.930290626769844,10.5262511737875,0.636666666666667,0.273333333333333,1,1,0.273333333333333,0.990278706800446,0.429319371727749,0,TRUE,164.060370206833,"hub5_p300_n500_diag0_R50"
"5545","large",43,0.199776228306782,0.853345899649031,7.76952206954459,0.823302693032015,0.646666666666667,0.992474576271186,0.538141470180305,0.646666666666667,0.987848383500557,0.587433762301287,0.461858529819695,TRUE,158.237953424454,"hub5_p300_n500_diag0_R50"
"5546","huge.ebic",43,0.246164051718036,0.999395990179017,10.4821379053282,0.600025800376648,0.2,0.999841807909605,0.94488188976378,0.2,0.989141583054627,0.330123796423659,0.0551181102362205,TRUE,1.11003994941711,"hub5_p300_n500_diag0_R50"
"5547","huge.ric",43,0.246205219150794,0.999572534828686,10.7718574168372,0.582499623352166,0.165,0.999954802259887,0.98019801980198,0.165,0.988784838350056,0.282453637660485,0.0198019801980198,TRUE,2.58733034133911,"hub5_p300_n500_diag0_R50"
"5548","huge.stars",43,0.245378878733982,0.996073053515966,8.07140001137506,0.7462097740113,0.493333333333333,0.977694915254237,0.230709275136399,0.493333333333333,0.971215161649944,0.314391927774827,0.769290724863601,TRUE,31.998006105423,"hub5_p300_n500_diag0_R50"
"5549","cv.loglik",43,0.244836335548133,0.993951457184509,7.76342252593233,0.785621280602636,0.573333333333333,0.92980790960452,0.0997101449275362,0.573333333333333,0.925039018952062,0.169876543209877,0.900289855072464,TRUE,20.9589464664459,"hub5_p300_n500_diag0_R50"
"5550","huge.tiger",43,0.832792460937223,0.970563969293446,98.9751958725445,0.595833333333333,0.191666666666667,1,1,0.191666666666667,0.989186176142698,0.321678321678322,0,TRUE,0.390671014785767,"hub5_p300_n500_diag0_R50"
"5551","pcglasso",43,0.227770429134011,0.927218381292578,10.5201339702443,0.645,0.29,1,1,0.29,0.990501672240803,0.449612403100775,0,TRUE,170.928797483444,"hub5_p300_n500_diag0_R50"
"5552","large",44,0.205570582338971,0.880210318139762,7.87017397305524,0.810044858757062,0.62,0.992180790960452,0.518105849582173,0.62,0.987201783723523,0.564491654021244,0.481894150417827,TRUE,153.313266277313,"hub5_p300_n500_diag0_R50"
"5553","huge.ebic",44,0.244025295455017,0.999439154830894,10.4925060361215,0.596675103578154,0.193333333333333,0.999841807909605,0.943089430894309,0.193333333333333,0.989052396878484,0.32088520055325,0.0569105691056911,TRUE,1.62428760528564,"hub5_p300_n500_diag0_R50"
"5554","huge.ric",44,0.244070997890748,0.999636362242539,10.8374055429924,0.575842919020716,0.151666666666667,0.999977401129943,0.989130434782609,0.151666666666667,0.988628762541806,0.263005780346821,0.0108695652173913,TRUE,3.81275391578674,"hub5_p300_n500_diag0_R50"
"5555","huge.stars",44,0.243201970447094,0.995929696377034,7.99256085052437,0.743989868173258,0.488333333333333,0.979864406779661,0.247466216216216,0.488333333333333,0.973288740245262,0.32847533632287,0.752533783783784,TRUE,49.3271358013153,"hub5_p300_n500_diag0_R50"
"5556","cv.loglik",44,0.242650623441096,0.993759631662442,7.59496805763644,0.781057514124294,0.563333333333333,0.932090395480226,0.101106790308106,0.563333333333333,0.927157190635452,0.171443063657114,0.898893209691893,TRUE,34.4918184280396,"hub5_p300_n500_diag0_R50"
